frame,time_s,lateral_offset_m,heading_error_deg,speed_mps,steering,throttle,brake,drive_mode
249,68.505,-0.0016,0.0,4.801,-0.0007,0.06,0.0,AUTO
250,68.606,-0.0016,0.0,4.8,-0.0007,0.06,0.0,AUTO
251,68.706,-0.0016,0.0,4.8,-0.0007,0.06,0.0,AUTO
252,68.838,-0.0016,0.0,4.804,-0.0007,0.059,0.0,AUTO
253,68.937,-0.0016,0.0,4.796,-0.0007,0.061,0.0,AUTO
254,69.071,-0.0016,0.0,4.8,-0.0007,0.06,0.0,AUTO
255,69.175,-0.0016,0.0,4.804,-0.0007,0.059,0.0,AUTO
256,69.274,-0.0016,0.0,4.81,-0.0007,0.057,0.0,AUTO
257,69.371,-0.0016,0.0,4.816,-0.0007,0.055,0.0,AUTO
258,69.504,-0.0016,0.0,4.829,-0.0007,0.051,0.0,AUTO
259,69.605,-0.0016,0.0,4.833,-0.0007,0.05,0.0,AUTO
260,69.771,-0.0016,0.0,4.845,-0.0007,0.047,0.0,AUTO
261,69.905,-0.0016,-0.0,4.841,-0.0007,0.048,0.0,AUTO
262,70.005,-0.0016,-0.0,4.846,-0.0007,0.046,0.0,AUTO
263,70.104,-0.0016,-0.0,4.839,-0.0007,0.048,0.0,AUTO
264,70.237,-0.0016,-0.0,4.834,-0.0007,0.05,0.0,AUTO
265,70.339,-0.0016,-0.0,4.832,-0.0007,0.05,0.0,AUTO
266,70.438,-0.0016,-0.0,4.833,-0.0007,0.05,0.0,AUTO
267,70.536,-0.0016,-0.0,4.834,-0.0007,0.05,0.0,AUTO
268,70.642,-0.1047,-370.22,4.837,-1.0,0.049,0.0,AUTO
269,70.772,-0.1578,-637.16,4.848,-1.0,0.045,0.0,AUTO
270,70.871,-0.175,-679.35,4.894,-1.0,0.032,0.0,AUTO
271,71.005,-0.1219,-348.13,4.932,-1.0,0.02,0.0,AUTO
272,71.105,-0.0656,102.93,4.941,1.0,0.018,0.0,AUTO
273,71.209,-0.0016,536.48,4.937,1.0,0.019,0.0,AUTO
274,71.34,-0.0016,634.04,4.734,1.0,0.08,0.0,AUTO
275,71.443,-0.0016,551.62,4.533,1.0,0.14,0.0,AUTO
276,71.54,-0.0016,384.07,4.4,1.0,0.18,0.0,AUTO
277,71.638,-0.0016,204.73,4.349,1.0,0.195,0.0,AUTO
278,71.738,-0.0016,55.25,4.354,0.9636,0.194,0.0,AUTO
279,71.839,-0.0234,-133.9,4.362,-1.0,0.191,0.0,AUTO
280,71.94,-0.1016,-483.38,4.393,-1.0,0.182,0.0,AUTO
281,72.038,-0.1484,-710.93,4.559,-1.0,0.132,0.0,AUTO
282,72.139,-0.4484,-1705.16,4.824,-1.0,0.053,0.0,AUTO
283,72.24,-0.5156,-2008.78,5.012,-1.0,0.0,0.004,AUTO
284,72.342,-0.5703,-1851.59,5.09,-1.0,0.0,0.027,AUTO
285,72.438,-0.5234,-1145.52,4.958,-1.0,0.013,0.0,AUTO
286,72.538,-0.775,-1328.2,4.749,-1.0,0.075,0.0,AUTO
287,72.649,-0.6656,-645.99,4.569,-1.0,0.129,0.0,AUTO
288,72.808,-0.5812,209.81,4.488,1.0,0.154,0.0,AUTO
289,72.938,-0.3641,1411.67,4.485,1.0,0.155,0.0,AUTO
290,73.073,-0.1703,2400.82,4.446,1.0,0.166,0.0,AUTO
291,73.172,-0.0016,2945.73,4.373,1.0,0.188,0.0,AUTO
292,73.274,-0.0016,2532.28,4.293,1.0,0.212,0.0,AUTO
293,73.372,-0.0016,1707.81,4.264,1.0,0.221,0.0,AUTO
294,73.472,-0.0016,839.49,4.266,1.0,0.22,0.0,AUTO
295,73.572,-0.0016,130.07,4.267,1.0,0.22,0.0,AUTO
296,73.678,-0.0016,-342.22,4.322,-1.0,0.203,0.0,AUTO
297,73.774,-0.0016,-580.96,4.37,-1.0,0.189,0.0,AUTO
298,73.875,-0.0016,-642.67,4.533,-1.0,0.14,0.0,AUTO
299,74.006,-0.0109,-614.27,4.777,-1.0,0.067,0.0,AUTO
300,74.105,-0.1344,-917.65,5.086,-1.0,0.0,0.026,AUTO
301,74.205,-0.1656,-976.14,5.153,-1.0,0.0,0.046,AUTO
302,74.339,-0.0969,-545.21,5.078,-1.0,0.0,0.024,AUTO
303,74.473,-0.0016,139.52,4.98,1.0,0.006,0.0,AUTO
304,74.571,-0.0016,453.98,4.914,1.0,0.026,0.0,AUTO
305,74.671,-0.0016,525.83,4.835,1.0,0.049,0.0,AUTO
306,74.772,-0.0016,453.08,4.623,1.0,0.113,0.0,AUTO
307,74.875,-0.0016,317.19,4.428,1.0,0.172,0.0,AUTO
308,74.971,-0.0016,173.6,4.321,1.0,0.204,0.0,AUTO
309,75.071,-0.0016,53.98,4.328,0.9414,0.202,0.0,AUTO
310,75.176,-0.0016,-28.69,4.341,-0.5015,0.198,0.0,AUTO
311,75.272,-0.0016,-74.11,4.338,-1.0,0.199,0.0,AUTO
312,75.373,-0.0016,-89.11,4.551,-1.0,0.135,0.0,AUTO
313,75.506,-0.0016,-90.4,4.8,-1.0,0.06,0.0,AUTO
314,75.607,-0.0016,-74.62,5.041,-1.0,0.0,0.012,AUTO
315,75.772,-0.0016,-51.71,5.098,-0.9032,0.0,0.03,AUTO
316,75.87,-0.0016,-35.75,5.023,-0.6247,0.0,0.007,AUTO
317,75.975,-0.0016,-15.46,4.944,-0.2705,0.017,0.0,AUTO
318,76.073,-0.0016,-1.41,4.919,-0.0253,0.024,0.0,AUTO
319,76.173,-0.0016,6.7,4.75,0.1163,0.075,0.0,AUTO
320,76.272,-0.0016,10.05,4.514,0.1748,0.146,0.0,AUTO
321,76.405,-0.0016,10.13,4.366,0.176,0.19,0.0,AUTO
322,76.537,-0.0016,8.32,4.394,0.1445,0.182,0.0,AUTO
323,76.638,-0.0016,5.78,4.478,0.1001,0.157,0.0,AUTO
324,76.741,-0.0016,3.26,4.609,0.0562,0.117,0.0,AUTO
325,76.838,-0.0016,1.21,4.721,0.0205,0.084,0.0,AUTO
326,76.941,-0.0016,-0.2,4.806,-0.0041,0.058,0.0,AUTO
327,77.075,-0.0016,-0.99,4.918,-0.0179,0.025,0.0,AUTO
328,77.174,-0.0016,-1.28,4.928,-0.023,0.022,0.0,AUTO
329,77.272,-0.0016,-1.23,4.892,-0.0221,0.032,0.0,AUTO
