frame,time_s,lateral_offset_norm,heading_error_deg,speed_mps,steering,throttle,brake,drive_mode,raw_heading_deg,raw_lateral_px,kalman_active,width_corrected_rows,curvature
225,62.029,-0.0016,0.0,2.794,1.0,0.062,0.0,AUTO,0.0,-0.5,False,1,0.0
226,62.131,-0.0016,0.0,2.714,-1.0,0.086,0.0,AUTO,0.0,-0.5,False,1,0.0
227,62.23,-0.0016,0.0,2.67,-1.0,0.099,0.0,AUTO,0.0,-0.5,False,1,0.0
228,62.328,-0.0016,0.0,2.733,-1.0,0.08,0.0,AUTO,0.0,-0.5,False,1,0.0
229,62.428,-0.0016,0.0,2.866,-1.0,0.04,0.0,AUTO,0.0,-0.5,False,1,0.0
230,62.528,-0.0016,0.0,2.955,1.0,0.014,0.0,AUTO,0.0,-0.5,False,1,0.0
231,62.627,-0.0016,0.0,3.004,1.0,0.0,0.001,AUTO,0.0,-0.5,False,0,0.0
232,62.73,-0.0016,0.0,2.954,0.1231,0.466,0.0,AUTO,0.0,-0.5,False,0,0.0
233,62.83,-0.0016,0.0,2.813,-1.0,0.056,0.0,AUTO,0.0,-0.5,False,2,0.0
234,62.928,-0.0016,0.0,2.826,-1.0,0.052,0.0,AUTO,0.0,-0.5,False,2,0.0
235,63.063,-0.0016,0.0,2.928,-1.0,0.022,0.0,AUTO,0.0,-0.5,False,2,0.0
236,63.164,-0.0016,0.0,2.997,1.0,0.001,0.0,AUTO,0.0,-0.5,False,0,0.0
237,63.263,-0.0016,0.0,3.014,1.0,0.0,0.004,AUTO,0.0,-0.5,False,1,0.0
238,63.361,-0.0016,0.0,2.959,1.0,0.012,0.0,AUTO,0.0,-0.5,False,1,0.0
239,63.467,-0.0016,0.0,2.804,1.0,0.059,0.0,AUTO,0.0,-0.5,False,0,0.0
240,63.564,-0.0016,0.0,2.678,-1.0,0.097,0.0,AUTO,0.0,-0.5,False,1,0.0
241,63.664,-0.0016,0.0,2.632,-1.0,0.11,0.0,AUTO,0.0,-0.5,False,1,0.0
242,63.761,-0.0016,0.0,2.728,-1.0,0.081,0.0,AUTO,0.0,-0.5,False,1,0.0
243,63.872,-0.0016,0.0,2.848,-1.0,0.046,0.0,AUTO,0.0,-0.5,False,0,0.0
244,63.999,-0.0016,0.0,2.961,1.0,0.012,0.0,AUTO,0.0,-0.5,False,1,0.0
245,64.095,-0.0016,0.0,3.021,1.0,0.0,0.006,AUTO,0.0,-0.5,False,1,0.0
246,64.229,-0.0016,0.0,2.962,1.0,0.012,0.0,AUTO,0.0,-0.5,False,0,0.0
